ID,Gender,Age,Member Since,Income,# of Orders,,,,,,,,
1, F,55,20170715,112000,11,,,,"Filtered out Gender = null , Age >90 and Income = null",,,,
2, F,75,20170509,100000,15,,,,,,,,
3, M,68,20180426,70000,13,,,,,,,,
4, M,65,20180209,53000,6,,,,,,,,
5, M,58,20171111,51000,5,,,,,,,,
6, F,61,20170911,57000,4,,,,,,,,
7, M,26,20140213,46000,21,,,,,,,,
8, F,62,20160211,71000,4,,,,,,,,
9, M,49,20141113,52000,4,,,,,,,,
10, M,57,20171231,42000,6,,,,,,,,
11, F,61,20180501,40000,8,,,,,,,,
12, F,40,20160504,71000,6,,,,,,,,
13, M,64,20170909,100000,13,,,,,,,,
14, F,78,20170616,71000,14,,,,,,,,
15, M,42,20130811,69000,23,,,,,,,,
16, F,56,20180428,88000,7,,,,,,,,
17, F,33,20170926,52000,41,,,,,,,,
18, F,46,20170911,59000,7,,,,,,,,
19, M,59,20150121,41000,10,,,,,,,,
20, M,67,20140823,96000,5,,,,,,,,
21, O,53,20170916,52000,34,,,,,,,,
22, M,22,20170925,70000,16,,,,,,,,
23, M,40,20160709,33000,5,,,,,,,,
24, F,69,20160814,57000,19,,,,,,,,
25, M,56,20140511,68000,4,,,,,,,,
26, F,26,20170812,63000,13,,,,,,,,
27, M,75,20151112,40000,82,,,,,,,,
28, F,20,20160711,30000,25,,,,,,,,
29, M,45,20180707,33000,19,,,,,,,,
30, M,61,20171121,98000,9,,,,,,,,
31, F,69,20130918,37000,21,,,,,,,,
32, F,54,20170207,80000,6,,,,,,,,
33, M,39,20140527,51000,4,,,,,,,,
34, F,41,20150921,41000,6,,,,,,,,
35, F,79,20150415,48000,10,,,,,,,,
36, F,66,20180408,38000,38,,,,,,,,
37, F,56,20170626,52000,24,,,,,,,,
38, F,39,20140723,56000,13,,,,,,,,
39, M,42,20160117,96000,8,,,,,,,,
40, F,78,20161009,93000,10,,,,,,,,
41, M,45,20171006,48000,6,,,,,,,,
42, M,29,20160430,50000,17,,,,,,,,
43, M,44,20170924,35000,12,,,,,,,,
44, M,63,20180713,56000,4,,,,,,,,
45, M,36,20171228,56000,5,,,,,,,,
46, F,76,20180314,47000,20,,,,,,,,
47, M,68,20170823,87000,6,,,,,,,,
48, M,75,20151129,52000,11,,,,,,,,
49, M,67,20170226,76000,9,,,,,,,,
50, M,77,20160730,51000,68,,,,,,,,
51, M,76,20140831,64000,4,,,,,,,,
52, M,57,20180207,98000,28,,,,,,,,
53, F,53,20160706,72000,4,,,,,,,,
54, F,53,20161231,117000,78,,,,,,,,
55, F,53,20171026,55000,8,,,,,,,,
56, F,61,20171110,112000,13,,,,,,,,
57, F,67,20160910,77000,15,,,,,,,,
