user_id,gender,age,income,Number of orders
4,Male,40,51000,2
5,Male,68,88000,12
6,Male,35,31000,7
7,Male,48,31000,35
10,Female,65,88000,30
13,Male,58,100000,5
15,Female,60,72000,5
21,Male,60,93000,35
22,Male,84,48000,6
23,Female,61,93000,9
24,Female,64,111000,2
25,Female,59,55000,6
26,Male,70,34000,6
27,Male,67,68000,54
28,Male,40,57000,5
54,Male,41,59000,35
58,Female,58,63000,12
64,Male,27,61000,1
65,Female,78,61000,8
75,Female,48,92000,50
119,Female,58,57000,9
219,Male,32,68000,16
220,Male,35,48000,4
221,Male,59,73000,10
222,Female,70,80000,69
223,Male,25,74000,67
224,Female,66,57000,5
225,Female,54,81000,2
226,Male,19,54000,12
227,Female,87,45000,21
229,Female,40,56000,11
529,Male,53,77000,19
4324,Male,74,60000,12
4325,Female,53,55000,22
4326,Female,34,34000,58
4327,Female,28,69000,15
11071,Male,53,54000,8
13078,Female,77,71000,7
13230,Male,75,66000,20
13231,Female,36,33000,11
13338,Male,74,89000,13
13340,Male,70,75000,5
13341,Male,81,117000,27
13342,Female,56,92000,20
13345,Male,56,76000,9
13346,Male,78,54000,26
13347,Male,49,36000,5
13349,Female,55,96000,44
13350,Male,78,66000,24
13351,Male,51,58000,2
13352,Female,42,55000,3
13353,Male,48,50000,13
13354,Male,27,57000,26
13362,Female,53,67000,59
13363,Male,22,71000,4
13366,Female,32,68000,5
13367,Male,56,48000,12
13371,Female,56,98000,10
13375,Male,68,72000,20
154179,Male,70,57000,5
154182,Male,78,74000,23
154183,Female,67,104000,11
154184,Female,79,100000,9
154186,Female,29,30000,12
154187,Male,73,89000,10
154188,Female,65,32000,10
155978,Female,67,52000,11
155979,Female,56,97000,51
155981,Male,68,85000,6
155997,Male,71,116000,2
155998,Female,67,39000,8
156000,Male,63,91000,47
156008,Male,66,70000,5
156009,Female,36,50000,14
156070,Female,61,67000,7
156075,Female,35,40000,6
156078,Female,53,36000,32
156080,Female,65,50000,15
156089,Male,37,58000,21
156090,Female,52,113000,30
156100,Female,52,72000,71
164120,Female,49,73000,27
164121,Female,53,46000,78
164123,Male,74,84000,5
164124,Male,62,65000,23
164126,Female,56,69000,23
164127,Female,63,94000,6
164128,Female,25,55000,11
164130,Female,18,34000,58
164133,Female,52,115000,8
164134,Male,20,32000,31
164136,Female,58,89000,16
164137,Male,48,69000,29
164140,Female,77,117000,26
164141,Female,69,61000,24
