user_id,gender,age,income,customer score
1,Male,55.0,112000,15
3,Male,68.0,70000,15
5,Female,58.0,51000,5
8,Female,62.0,71000,5
12,Female,40.0,71000,10
13,Male,64.0,100000,15
14,Female,78.0,71000,15
15,Male,42.0,69000,25
16,Female,56.0,88000,10
18,Female,46.0,59000,10
19,Male,59.0,41000,10
20,Male,67.0,96000,5
21,Female,53.0,52000,35
22,Male,22.0,70000,20
24,Female,69.0,57000,20
25,Male,56.0,68000,5
27,Male,75.0,40000,35
28,Male,20.0,30000,25
29,Female,45.0,33000,20
30,Female,61.0,98000,10
31,Female,69.0,37000,25
32,Female,54.0,80000,10
33,Male,39.0,51000,5
34,Female,41.0,41000,10
35,Male,79.0,48000,10
37,Female,56.0,52000,25
38,Male,39.0,56000,15
40,Female,78.0,93000,10
41,Male,45.0,48000,10
42,Female,29.0,50000,20
43,Female,44.0,35000,15
46,Male,76.0,47000,20
47,Male,68.0,87000,10
48,Female,75.0,52000,15
49,Male,67.0,76000,10
50,Male,77.0,51000,35
51,Male,76.0,64000,5
52,Male,57.0,98000,30
53,Male,53.0,72000,5
55,Female,53.0,55000,10
58,Male,58.0,85000,20
59,Female,46.0,36000,15
60,Female,30.0,41000,10
61,Female,59.0,89000,5
62,Female,51.0,41000,15
63,Female,27.0,35000,35
64,Male,40.0,53000,15
65,Female,73.0,91000,15
66,Female,74.0,107000,10
67,Female,42.0,66000,25
68,Female,78.0,58000,10
69,Female,54.0,53000,10
70,Female,70.0,74000,15
71,Male,49.0,57000,25
72,Male,62.0,57000,15
73,Male,64.0,70000,10
74,Male,89.0,87000,10
75,Male,73.0,51000,25
76,Male,50.0,93000,10
77,Male,90.0,98000,15
78,Female,68.0,84000,10
79,Female,60.0,64000,10
81,Female,66.0,49000,10
82,Female,19.0,73000,20
83,Female,66.0,58000,10
85,Male,76.0,63000,10
86,Male,52.0,78000,20
87,Female,55.0,31000,30
88,Female,39.0,60000,10
89,Male,45.0,44000,25
90,Male,57.0,114000,35
91,Male,74.0,48000,20
92,Male,18.0,47000,10
93,Female,53.0,96000,15
94,Male,59.0,98000,10
95,Female,57.0,46000,10
97,Male,64.0,37000,10
98,Male,71.0,57000,15
99,Male,64.0,66000,20
100,Female,83.0,46000,10
101,Female,26.0,71000,25
102,Female,29.0,58000,10
105,Male,49.0,79000,10
106,Male,79.0,67000,5
107,Male,55.0,94000,20
109,Female,45.0,31000,10
110,Female,52.0,30000,25
111,Female,39.0,55000,10
112,Male,77.0,69000,30
113,Male,66.0,60000,10
114,Male,69.0,87000,5
115,Female,74.0,53000,15
116,Female,75.0,87000,10
117,Female,59.0,85000,15
118,Male,47.0,66000,30
119,Female,20.0,69000,5
120,Male,60.0,108000,5
123,Male,39.0,67000,15
124,Female,49.0,59000,10
125,Male,68.0,58000,15
126,Female,42.0,80000,15
127,Female,72.0,33000,20
129,Male,32.0,42000,15
130,Female,67.0,50000,5
131,Male,52.0,42000,10
132,Male,38.0,64000,25
133,Female,60.0,77000,25
134,Male,62.0,77000,10
135,Female,55.0,51000,5
136,Female,22.0,63000,5
137,Female,34.0,41000,10
138,Female,46.0,60000,35
139,Female,85.0,67000,5
140,Female,51.0,85000,35
141,Male,53.0,85000,5
142,Female,51.0,92000,35
144,Male,52.0,72000,10
145,Male,62.0,53000,10
146,Female,42.0,62000,35
147,Female,55.0,65000,15
148,Female,27.0,50000,10
149,Female,68.0,107000,20
150,Female,74.0,83000,35
151,Male,77.0,66000,15
152,Female,35.0,72000,35
153,Female,50.0,69000,20
154,Female,45.0,94000,35
155,Female,82.0,87000,25
156,Male,40.0,57000,5
157,Male,66.0,34000,5
158,Female,52.0,63000,10
159,Female,57.0,89000,5
160,Female,68.0,69000,15
161,Male,21.0,52000,25
162,Male,61.0,44000,15
163,Male,58.0,54000,15
164,Female,67.0,54000,15
165,Female,24.0,61000,10
166,Female,26.0,35000,10
167,Female,71.0,105000,10
168,Male,69.0,64000,25
170,Male,62.0,73000,5
171,Female,38.0,74000,10
173,Female,52.0,92000,35
174,Female,50.0,70000,30
176,Female,75.0,109000,10
177,Female,82.0,73000,15
178,Female,64.0,38000,10
179,Male,54.0,99000,10
180,Female,82.0,72000,10
181,Male,90.0,45000,15
182,Female,34.0,67000,30
183,Female,44.0,53000,5
184,Male,79.0,106000,15
185,Female,58.0,95000,10
186,Female,47.0,74000,10
187,Female,60.0,59000,35
188,Female,83.0,54000,10
189,Female,74.0,103000,15
190,Male,89.0,101000,20
191,Female,68.0,62000,5
192,Female,63.0,110000,10
193,Female,40.0,51000,10
195,Male,71.0,30000,35
196,Male,76.0,114000,5
197,Female,89.0,96000,25
199,Female,41.0,83000,5
200,Male,71.0,56000,10
201,Male,44.0,36000,10
202,Female,25.0,73000,15
203,Female,27.0,70000,5
204,Female,67.0,106000,35
205,Female,77.0,80000,15
206,Male,68.0,66000,30
207,Female,37.0,64000,5
208,Female,55.0,60000,20
209,Male,30.0,54000,20
210,Female,51.0,54000,35
211,Female,47.0,92000,5
212,Male,49.0,48000,15
214,Female,30.0,69000,30
216,Female,34.0,34000,20
217,Male,78.0,101000,15
218,Female,85.0,71000,10
219,Male,75.0,69000,35
220,Male,76.0,71000,20
222,Male,58.0,70000,35
223,Male,23.0,49000,35
224,Female,58.0,53000,5
225,Male,64.0,95000,15
226,Female,72.0,39000,25
227,Female,66.0,72000,35
228,Male,49.0,68000,5
229,Male,43.0,71000,20
230,Male,58.0,39000,15
231,Female,43.0,76000,5
232,Male,56.0,87000,35
233,Female,69.0,118000,30
234,Female,60.0,94000,35
236,Female,42.0,91000,35
237,Male,75.0,71000,10
238,Female,62.0,73000,10
239,Female,55.0,54000,10
240,Female,65.0,39000,10
241,Female,52.0,46000,15
242,Male,30.0,40000,20
243,Male,74.0,75000,30
244,Female,21.269132208346825,63000,10
245,Female,26.0,40000,10
246,Female,56.0,53000,10
247,Female,50.0,90000,10
248,Male,73.0,95000,35
249,Female,49.0,74000,10
250,Female,37.0,50000,15
251,Female,65.0,57000,15
252,Female,64.0,81000,5
254,Female,20.0,32000,15
255,Male,46.0,40000,5
256,Male,24.0,69000,20
257,Male,71.0,95000,25
258,Male,50.0,78000,25
259,Male,37.0,92000,5
260,Female,57.0,81000,20
261,Female,52.0,85000,10
262,Female,41.0,41000,35
264,Male,66.0,87000,30
265,Female,68.0,120000,10
266,Male,20.0,70000,10
267,Male,43.0,42000,10
268,Female,73.0,38000,10
269,Female,42.0,56000,5
270,Female,82.0,110000,25
271,Male,70.0,92000,20
272,Male,42.0,71000,10
273,Female,48.0,62000,20
274,Female,53.0,93000,15
275,Female,64.0,67000,15
276,Female,79.0,90000,10
277,Female,51.0,55000,5
278,Male,45.0,88000,35
279,Female,48.0,105000,15
280,Female,54.0,119000,35
281,Male,52.0,48000,35
282,Male,28.0,68000,5
283,Male,69.0,47000,10
284,Male,73.0,92000,20
285,Male,67.0,71000,5
286,Female,76.0,34000,5
287,Female,55.0,53000,15
288,Male,89.0,83000,5
289,Female,57.0,41000,35
290,Female,54.0,70000,35
291,Male,58.0,73000,5
292,Male,49.0,39000,10
293,Female,73.0,79000,10
295,Female,51.0,70000,25
296,Female,74.0,78000,10
297,Female,53.0,95000,15
298,Male,61.0,32000,5
299,Female,41.0,55000,10
300,Male,64.0,95000,35
302,Female,50.0,57000,15
303,Female,60.0,56000,10
304,Male,57.0,83000,35
305,Male,39.0,54000,5
306,Male,57.0,67000,25
307,Female,57.0,71000,35
308,Female,68.0,51000,5
309,Female,83.0,114000,30
311,Male,90.0,72000,20
312,Female,56.0,72000,5
314,Male,62.0,39000,10
315,Male,63.0,58000,5
316,Female,67.0,56000,25
317,Male,68.0,50000,5
318,Female,55.0,73000,10
319,Female,24.0,59000,10
320,Female,40.0,39000,10
321,Male,83.0,61000,35
322,Male,63.0,41000,15
324,Male,49.0,42000,15
325,Female,61.0,99000,10
326,Female,42.0,57000,10
327,Female,58.0,36000,35
328,Female,48.0,44000,15
330,Male,36.0,31000,10
331,Male,41.0,100000,10
332,Male,83.0,73000,15
333,Male,53.0,87000,10
335,Female,80.0,48000,10
337,Male,63.0,119000,15
339,Female,56.0,109000,5
341,Female,58.0,58000,15
342,Male,59.0,59000,20
343,Male,49.0,104000,5
344,Female,63.0,70000,10
345,Female,42.0,94000,5
346,Female,52.0,57000,10
347,Female,57.0,37000,5
349,Female,80.0,87000,10
350,Male,43.0,52000,15
353,Female,57.0,95000,15
354,Female,71.0,67000,10
355,Female,64.0,112000,15
356,Male,20.0,49000,5
357,Male,36.0,58000,10
359,Male,71.0,65000,20
360,Female,67.0,89000,5
361,Female,72.0,81000,10
362,Male,51.0,100000,15
363,Male,48.0,68000,15
364,Male,53.0,60000,20
365,Female,25.0,53000,20
367,Female,19.0,32000,5
368,Female,28.0,49000,5
369,Female,56.0,76000,20
371,Female,25.0,40000,5
372,Male,61.0,78000,15
373,Female,34.0,59000,35
376,Male,51.0,92000,10
377,Female,47.0,44000,5
378,Female,63.0,70000,10
381,Male,62.0,70000,20
382,Male,83.0,88000,30
383,Female,43.0,58000,10
384,Male,66.0,94000,10
385,Female,70.0,44000,5
386,Female,65.0,66000,5
387,Male,33.0,54000,10
388,Female,63.0,78000,15
389,Female,77.0,42000,15
390,Male,49.0,57000,25
391,Male,53.0,104000,25
392,Female,61.0,87000,10
394,Male,44.0,60000,10
395,Male,69.0,62000,5
396,Female,39.0,71000,20
397,Female,38.0,55000,5
398,Male,83.0,99000,35
399,Male,63.0,94000,5
400,Female,41.0,41000,10
401,Male,54.0,39000,5
402,Female,41.0,55000,5
403,Female,56.0,69000,35
404,Male,50.0,98000,10
405,Female,58.0,55000,10
406,Male,39.0,61000,5
407,Male,60.0,55000,5
408,Male,60.0,74000,5
409,Female,24.0,38000,35
410,Female,48.0,57000,30
411,Female,50.0,110000,15
412,Female,41.0,67000,5
413,Male,45.0,84000,25
414,Female,48.0,93000,5
416,Male,43.0,45000,5
417,Female,56.0,67000,10
420,Male,63.0,49000,25
421,Male,47.0,35000,5
422,Female,52.0,56000,30
423,Female,58.0,78000,35
424,Male,78.0,39000,5
425,Female,43.0,40000,10
427,Female,18.0,48000,10
428,Female,39.0,85000,5
429,Female,74.0,99000,30
430,Male,53.0,98000,10
431,Female,61.0,67000,10
432,Male,23.0,54000,35
433,Female,46.0,55000,10
434,Female,51.0,78000,5
435,Female,77.0,86000,15
436,Male,79.0,91000,20
437,Female,41.0,41000,20
438,Male,60.0,78000,15
439,Female,54.0,47000,10
440,Male,63.0,89000,20
441,Female,73.0,76000,15
442,Male,47.0,77000,15
443,Female,84.0,82000,15
444,Female,20.0,56000,35
445,Female,24.0,35000,5
446,Female,58.0,71000,10
447,Female,35.0,40000,10
448,Male,57.0,33000,35
449,Female,87.0,55000,25
450,Male,86.0,84000,20
451,Male,57.0,100000,35
452,Female,61.0,112000,25
453,Female,25.0,53000,15
454,Male,38.0,31000,35
455,Female,27.357658630409563,50000,10
456,Male,59.0,61000,10
457,Female,49.0,73000,5
459,Male,31.0,64000,25
460,Female,75.0,53000,5
461,Female,51.0,65000,5
462,Male,68.0,74000,35
463,Male,86.0,71000,10
464,Male,62.0,117000,35
465,Male,61.0,64000,35
466,Female,63.0,57000,35
468,Female,50.0,77000,10
471,Male,50.0,92000,10
473,Female,55.0,76000,15
474,Female,71.0,95000,30
475,Female,34.0,46000,30
476,Male,81.0,65000,20
477,Male,65.0,98000,5
478,Female,63.0,62000,10
479,Female,73.0,58000,25
480,Female,84.0,77000,15
481,Male,55.0,62000,35
482,Female,63.0,70000,10
483,Female,24.0,51000,10
484,Female,36.0,74000,15
485,Female,56.0,69000,15
486,Male,65.0,119000,15
487,Female,75.0,75000,35
488,Male,71.0,114000,10
492,Female,19.0,73000,10
494,Female,66.0,112000,5
495,Female,37.0,59000,25
496,Male,22.0,49000,35
497,Female,54.0,96000,10
498,Female,62.0,73000,15
499,Female,50.0,75000,10
500,Female,80.0,87000,5
501,Male,55.0,112000,10
502,Female,40.0,50000,10
503,Male,43.0,52000,35
504,Male,61.0,53000,5
505,Female,32.0,43000,5
506,Female,68.0,32000,5
507,Female,66.0,104000,10
508,Female,36.0,35000,20
509,Male,38.0,60000,15
510,Female,80.0,54000,10
511,Male,82.0,68000,10
512,Male,45.0,74000,5
513,Female,89.0,63000,5
514,Female,45.0,94000,10
515,Female,59.0,35000,20
516,Female,22.0,44000,35
518,Female,30.0,41000,10
519,Male,56.0,88000,15
520,Male,53.0,100000,30
521,Female,32.0,58000,10
523,Female,38.0,66000,15
524,Female,52.0,45000,10
525,Male,55.0,68000,35
526,Male,81.0,41000,5
527,Female,55.0,78000,5
528,Female,51.0,67000,35
529,Female,71.0,74000,35
530,Female,45.0,84000,5
531,Female,49.0,71000,30
532,Male,62.0,48000,5
533,Male,65.0,99000,5
535,Female,20.0,60000,30
536,Male,49.0,31000,5
539,Female,23.67866498298607,64000,20
540,Female,83.0,99000,10
541,Female,56.0,70000,10
542,Male,66.0,54000,5
543,Female,87.0,74000,15
545,Male,52.0,114000,5
546,Male,59.0,83000,10
547,Male,59.0,51000,15
549,Male,62.0,46000,15
550,Male,56.0,80000,5
551,Male,51.0,97000,15
552,Male,47.0,62000,15
554,Female,43.0,44000,10
555,Female,43.0,72000,15
556,Male,49.0,84000,5
557,Female,36.0,57000,10
559,Male,53.0,95000,25
562,Male,40.0,41000,35
563,Female,83.0,114000,10
564,Male,49.0,65000,10
566,Male,25.0,55000,15
567,Female,71.0,55000,25
568,Male,58.0,71000,15
569,Female,53.0,36000,5
570,Female,83.0,93000,10
571,Male,46.0,56000,10
572,Female,69.0,97000,5
573,Female,51.0,73000,20
574,Female,61.0,68000,15
575,Female,81.0,101000,5
576,Female,60.0,41000,10
577,Female,48.0,75000,10
578,Male,48.0,87000,5
579,Male,73.0,63000,5
580,Female,41.0,89000,25
581,Female,39.0,77000,5
582,Male,31.0,56000,25
583,Female,38.0,61000,35
584,Male,46.0,36000,10
585,Male,87.0,72000,15
586,Female,53.0,83000,5
587,Female,25.7267711793056,48000,15
588,Female,42.0,41000,20
589,Female,54.0,79000,5
590,Male,47.0,53000,5
592,Male,79.0,61000,5
593,Male,36.0,64000,20
594,Female,30.0,43000,10
595,Female,34.0,50000,10
596,Male,39.0,78000,35
597,Male,52.0,87000,10
598,Female,43.0,34000,10
599,Female,75.0,38000,35
600,Male,47.0,40000,10
601,Female,60.0,117000,10
602,Female,31.0,43000,10
603,Male,70.0,35000,10
604,Male,49.0,36000,30
606,Female,37.0,36000,35
607,Male,67.0,67000,15
610,Female,66.0,32000,5
611,Male,38.0,56000,20
612,Male,59.0,90000,35
613,Male,43.0,65000,15
615,Female,68.0,108000,5
616,Female,60.0,45000,30
617,Female,53.0,39000,15
618,Male,34.0,50000,30
620,Male,88.0,73000,10
621,Female,62.0,88000,5
624,Female,38.0,33000,10
625,Female,44.0,39000,5
626,Male,40.0,50000,35
628,Male,72.0,60000,5
629,Male,22.0,45000,10
630,Male,72.0,49000,35
631,Female,70.0,37000,10
632,Female,23.0,65000,10
634,Male,71.0,67000,15
635,Male,50.0,51000,25
636,Male,72.0,35000,25
637,Female,43.0,31000,20
638,Female,63.0,70000,25
640,Female,53.0,57000,5
641,Male,37.0,57000,30
642,Male,45.0,44000,10
643,Male,59.0,61000,10
644,Male,74.0,51000,5
645,Male,18.0,36000,35
646,Male,27.943767675503658,84000,35
647,Male,38.0,33000,10
648,Male,67.0,50000,5
649,Female,46.0,36000,35
650,Female,82.0,41000,10
651,Female,37.0,36000,15
652,Female,65.0,71000,35
653,Male,66.0,34000,30
654,Male,65.0,57000,10
656,Female,63.0,113000,5
657,Female,50.0,110000,35
659,Male,66.0,50000,5
660,Female,76.0,62000,10
661,Male,56.0,82000,10
662,Female,49.0,75000,15
663,Male,29.0,53000,5
664,Female,51.0,56000,10
665,Female,69.0,68000,25
666,Female,48.0,52000,5
667,Female,25.0,68000,35
668,Male,82.0,78000,15
669,Female,57.0,70000,30
670,Male,50.0,70000,10
671,Female,74.0,72000,10
672,Female,49.0,59000,20
673,Male,80.0,88000,10
674,Female,62.0,81000,5
675,Female,63.0,50000,15
676,Male,54.0,109000,15
677,Female,45.0,55000,10
678,Male,49.0,110000,25
679,Male,61.0,35000,10
680,Female,46.0,46000,10
681,Female,64.0,59000,10
682,Male,69.0,89000,20
683,Female,69.0,64000,10
684,Male,66.0,70000,30
686,Male,40.0,51000,5
687,Female,74.0,64000,20
688,Female,52.0,31000,35
689,Female,62.0,55000,5
690,Female,61.0,118000,35
691,Male,22.0,55000,25
692,Male,62.0,35000,15
693,Female,23.0,63000,10
694,Female,90.0,104000,10
695,Male,72.0,41000,5
696,Male,69.0,93000,35
697,Female,71.0,43000,10
698,Female,32.0,38000,10
699,Female,36.0,51000,35
700,Male,58.0,38000,10
701,Female,75.0,103000,10
702,Female,58.0,41000,30
703,Male,76.0,69000,10
