user_id,gender,age,income,customer score
1,Male,55,112000,11
3,Male,68,70000,13
5,Female,58,51000,5
8,Female,62,71000,4
12,Female,40,71000,6
13,Male,64,100000,13
14,Female,78,71000,14
15,Male,42,69000,23
16,Female,56,88000,7
18,Female,46,59000,7
19,Male,59,41000,10
20,Male,67,96000,5
21,Female,53,52000,34
22,Male,22,70000,16
24,Female,69,57000,19
25,Male,56,68000,4
27,Male,75,40000,82
28,Male,20,30000,25
29,Female,45,33000,19
30,Female,61,98000,9
31,Female,69,37000,21
32,Female,54,80000,6
33,Male,39,51000,4
34,Female,41,41000,6
35,Male,79,48000,10
37,Female,56,52000,24
38,Male,39,56000,13
40,Female,78,93000,10
41,Male,45,48000,6
42,Female,29,50000,17
43,Female,44,35000,12
46,Male,76,47000,20
47,Male,68,87000,6
48,Female,75,52000,11
49,Male,67,76000,9
50,Male,77,51000,68
51,Male,76,64000,4
52,Male,57,98000,28
53,Male,53,72000,4
55,Female,53,55000,8
58,Male,58,85000,16
59,Female,46,36000,11
60,Female,30,41000,9
61,Female,59,89000,5
62,Female,51,41000,11
63,Female,27,35000,40
64,Male,40,53000,11
65,Female,73,91000,15
66,Female,74,107000,7
67,Female,42,66000,25
68,Female,78,58000,7
69,Female,54,53000,6
70,Female,70,74000,14
71,Male,49,57000,24
72,Male,62,57000,13
73,Male,64,70000,8
74,Male,89,87000,6
75,Male,73,51000,24
76,Male,50,93000,10
77,Male,90,98000,13
78,Female,68,84000,7
79,Female,60,64000,8
81,Female,66,49000,8
82,Female,19,73000,20
83,Female,66,58000,7
85,Male,76,63000,8
86,Male,52,78000,18
87,Female,55,31000,28
88,Female,39,60000,8
89,Male,45,44000,21
90,Male,57,114000,72
91,Male,74,48000,16
92,Male,18,47000,6
93,Female,53,96000,15
94,Male,59,98000,10
95,Female,57,46000,9
97,Male,64,37000,6
98,Male,71,57000,15
99,Male,64,66000,19
100,Female,83,46000,6
101,Female,26,71000,21
102,Female,29,58000,7
105,Male,49,79000,8
106,Male,79,67000,4
107,Male,55,94000,16
109,Female,45,31000,7
110,Female,52,30000,21
111,Female,39,55000,8
112,Male,77,69000,27
113,Male,66,60000,6
114,Male,69,87000,5
115,Female,74,53000,13
116,Female,75,87000,7
117,Female,59,85000,12
118,Male,47,66000,28
119,Female,20,69000,4
120,Male,60,108000,4
123,Male,39,67000,11
124,Female,49,59000,9
125,Male,68,58000,14
126,Female,42,80000,11
127,Female,72,33000,18
129,Male,32,42000,12
130,Female,67,50000,4
131,Male,52,42000,10
132,Male,38,64000,25
133,Female,60,77000,21
134,Male,62,77000,7
135,Female,55,51000,5
136,Female,22,63000,5
137,Female,34,41000,7
138,Female,46,60000,33
139,Female,85,67000,5
140,Female,51,85000,77
141,Male,53,85000,5
142,Female,51,92000,46
144,Male,52,72000,8
145,Male,62,53000,9
146,Female,42,62000,41
147,Female,55,65000,14
148,Female,27,50000,8
149,Female,68,107000,16
150,Female,74,83000,32
151,Male,77,66000,12
152,Female,35,72000,66
153,Female,50,69000,20
154,Female,45,94000,36
155,Female,82,87000,23
156,Male,40,57000,4
157,Male,66,34000,5
158,Female,52,63000,6
159,Female,57,89000,5
160,Female,68,69000,13
161,Male,21,52000,21
162,Male,61,44000,15
163,Male,58,54000,12
164,Female,67,54000,11
165,Female,24,61000,8
166,Female,26,35000,7
167,Female,71,105000,6
168,Male,69,64000,23
170,Male,62,73000,4
171,Female,38,74000,7
173,Female,52,92000,45
174,Female,50,70000,28
176,Female,75,109000,7
177,Female,82,73000,15
178,Female,64,38000,6
179,Male,54,99000,6
180,Female,82,72000,7
181,Male,90,45000,11
182,Female,34,67000,27
183,Female,44,53000,5
184,Male,79,106000,12
185,Female,58,95000,7
186,Female,47,74000,8
187,Female,60,59000,33
188,Female,83,54000,6
189,Female,74,103000,12
190,Male,89,101000,18
191,Female,68,62000,5
192,Female,63,110000,6
193,Female,40,51000,6
195,Male,71,30000,59
196,Male,76,114000,4
197,Female,89,96000,21
199,Female,41,83000,4
200,Male,71,56000,10
201,Male,44,36000,8
202,Female,25,73000,14
203,Female,27,70000,4
204,Female,67,106000,59
205,Female,77,80000,13
206,Male,68,66000,29
207,Female,37,64000,4
208,Female,55,60000,19
209,Male,30,54000,20
210,Female,51,54000,100
211,Female,47,92000,5
212,Male,49,48000,13
214,Female,30,69000,28
216,Female,34,34000,18
217,Male,78,101000,12
218,Female,85,71000,7
219,Male,75,69000,34
220,Male,76,71000,17
222,Male,58,70000,71
223,Male,23,49000,50
224,Female,58,53000,4
225,Male,64,95000,12
226,Female,72,39000,22
227,Female,66,72000,32
228,Male,49,68000,5
229,Male,43,71000,18
230,Male,58,39000,11
231,Female,43,76000,4
232,Male,56,87000,37
233,Female,69,118000,26
234,Female,60,94000,43
236,Female,42,91000,46
237,Male,75,71000,9
238,Female,62,73000,7
239,Female,55,54000,6
240,Female,65,39000,6
241,Female,52,46000,15
242,Male,30,40000,17
243,Male,74,75000,28
244,Female,100,63000,8
245,Female,26,40000,6
246,Female,56,53000,6
247,Female,50,90000,6
248,Male,73,95000,59
249,Female,49,74000,10
250,Female,37,50000,12
251,Female,65,57000,11
252,Female,64,81000,5
254,Female,20,32000,12
255,Male,46,40000,5
256,Male,24,69000,19
257,Male,71,95000,21
258,Male,50,78000,25
259,Male,37,92000,4
260,Female,57,81000,18
261,Female,52,85000,9
262,Female,41,41000,46
264,Male,66,87000,30
265,Female,68,120000,8
266,Male,20,70000,6
267,Male,43,42000,10
268,Female,73,38000,10
269,Female,42,56000,4
270,Female,82,110000,23
271,Male,70,92000,16
272,Male,42,71000,10
273,Female,48,62000,20
274,Female,53,93000,15
275,Female,64,67000,15
276,Female,79,90000,10
277,Female,51,55000,4
278,Male,45,88000,69
279,Female,48,105000,15
280,Female,54,119000,42
281,Male,52,48000,31
282,Male,28,68000,4
