user_id,gender,age,income,customer score
1,Male,55.0,112000.0,11.0
3,Male,75.0,100000.0,13.0
5,Female,68.0,70000.0,5.0
8,Female,65.0,53000.0,4.0
12,Female,58.0,51000.0,6.0
13,Male,61.0,57000.0,13.0
14,Female,26.0,46000.0,14.0
15,Male,62.0,71000.0,23.0
16,Female,49.0,52000.0,7.0
18,Female,57.0,42000.0,7.0
19,Male,61.0,40000.0,10.0
20,Male,40.0,71000.0,5.0
21,Female,64.0,100000.0,34.0
22,Male,28.730969752503192,71000.0,16.0
24,Female,42.0,69000.0,19.0
25,Male,56.0,88000.0,4.0
27,Male,33.0,52000.0,82.0
28,Male,46.0,59000.0,25.0
29,Female,59.0,41000.0,19.0
30,Female,67.0,96000.0,9.0
31,Female,53.0,52000.0,21.0
32,Female,22.0,70000.0,6.0
33,Male,20.43677094967623,89000.0,4.0
34,Female,40.0,33000.0,6.0
35,Male,69.0,57000.0,10.0
37,Female,56.0,68000.0,24.0
38,Male,26.0,63000.0,13.0
40,Female,75.0,40000.0,10.0
41,Male,20.0,30000.0,6.0
42,Female,45.0,33000.0,17.0
43,Female,61.0,98000.0,12.0
46,Male,69.0,37000.0,20.0
47,Male,54.0,80000.0,6.0
48,Female,39.0,51000.0,11.0
49,Male,41.0,41000.0,9.0
50,Male,29.60066532926586,48000.0,68.0
51,Male,66.0,38000.0,4.0
52,Male,56.0,52000.0,28.0
53,Male,39.0,56000.0,4.0
55,Female,42.0,96000.0,8.0
58,Male,22.956328538333796,93000.0,16.0
59,Female,45.0,48000.0,11.0
60,Female,29.0,50000.0,9.0
61,Female,44.0,35000.0,5.0
62,Female,63.0,56000.0,11.0
63,Female,36.0,56000.0,40.0
64,Male,76.0,47000.0,11.0
65,Female,68.0,87000.0,15.0
66,Female,75.0,52000.0,7.0
67,Female,67.0,76000.0,25.0
68,Female,77.0,51000.0,7.0
69,Female,76.0,64000.0,6.0
70,Female,57.0,98000.0,14.0
71,Male,53.0,72000.0,24.0
72,Male,53.0,117000.0,13.0
73,Male,53.0,55000.0,8.0
74,Male,61.0,112000.0,6.0
75,Male,67.0,77000.0,24.0
76,Male,58.0,85000.0,10.0
77,Male,46.0,36000.0,13.0
78,Female,30.0,41000.0,7.0
79,Female,59.0,89000.0,8.0
81,Female,51.0,41000.0,8.0
82,Female,27.0,35000.0,20.0
83,Female,40.0,53000.0,7.0
85,Male,73.0,91000.0,8.0
86,Male,74.0,107000.0,18.0
87,Female,42.0,66000.0,28.0
88,Female,23.71881064313483,58000.0,8.0
89,Male,54.0,53000.0,21.0
90,Male,70.0,74000.0,72.0
91,Male,49.0,57000.0,16.0
92,Male,62.0,57000.0,6.0
93,Female,64.0,70000.0,15.0
94,Male,22.40015025536135,87000.0,10.0
95,Female,73.0,51000.0,9.0
97,Male,50.0,93000.0,6.0
98,Male,25.766592645046376,98000.0,15.0
99,Male,68.0,84000.0,19.0
100,Female,60.0,64000.0,6.0
101,Female,45.0,54000.0,21.0
102,Female,66.0,49000.0,7.0
105,Male,19.0,73000.0,8.0
106,Male,66.0,58000.0,4.0
107,Male,72.0,72000.0,16.0
109,Female,76.0,63000.0,7.0
110,Female,52.0,78000.0,21.0
111,Female,55.0,31000.0,8.0
112,Male,39.0,60000.0,27.0
113,Male,45.0,44000.0,6.0
114,Male,57.0,114000.0,5.0
115,Female,74.0,48000.0,13.0
116,Female,18.0,47000.0,7.0
117,Female,53.0,96000.0,12.0
118,Male,59.0,98000.0,28.0
119,Female,57.0,46000.0,4.0
120,Male,51.0,56000.0,4.0
123,Male,64.0,37000.0,11.0
124,Female,71.0,57000.0,9.0
125,Male,64.0,66000.0,14.0
126,Female,25.264085902773157,46000.0,11.0
127,Female,26.0,71000.0,18.0
129,Male,29.0,58000.0,12.0
130,Female,43.0,70000.0,4.0
131,Male,21.62655354565781,65000.0,10.0
132,Male,49.0,79000.0,25.0
133,Female,27.130253300093013,67000.0,21.0
134,Male,55.0,94000.0,7.0
135,Female,55.0,66000.0,5.0
136,Female,45.0,31000.0,5.0
137,Female,52.0,30000.0,7.0
138,Female,39.0,55000.0,33.0
139,Female,77.0,69000.0,5.0
140,Female,66.0,60000.0,77.0
141,Male,69.0,87000.0,5.0
142,Female,74.0,53000.0,46.0
144,Male,75.0,87000.0,8.0
145,Male,59.0,85000.0,9.0
146,Female,47.0,66000.0,41.0
147,Female,20.0,69000.0,14.0
148,Female,60.0,108000.0,8.0
149,Female,65.0,61000.0,16.0
150,Female,33.0,43000.0,32.0
151,Male,39.0,67000.0,12.0
152,Female,49.0,59000.0,66.0
153,Female,68.0,58000.0,20.0
154,Female,42.0,80000.0,36.0
155,Female,72.0,33000.0,23.0
156,Male,18.0,49000.0,4.0
157,Male,32.0,42000.0,5.0
158,Female,67.0,50000.0,6.0
159,Female,52.0,42000.0,5.0
160,Female,38.0,64000.0,13.0
161,Male,60.0,77000.0,21.0
162,Male,62.0,77000.0,15.0
163,Male,55.0,51000.0,12.0
164,Female,22.0,63000.0,11.0
165,Female,34.0,41000.0,8.0
166,Female,46.0,60000.0,7.0
167,Female,25.32335649368502,67000.0,6.0
168,Male,51.0,85000.0,23.0
170,Male,53.0,85000.0,4.0
171,Female,51.0,92000.0,7.0
173,Female,48.0,44000.0,45.0
174,Female,52.0,72000.0,28.0
176,Female,62.0,53000.0,7.0
177,Female,42.0,62000.0,15.0
178,Female,55.0,65000.0,6.0
179,Male,27.0,50000.0,6.0
180,Female,68.0,107000.0,7.0
181,Male,74.0,83000.0,11.0
182,Female,77.0,66000.0,27.0
183,Female,35.0,72000.0,5.0
184,Male,50.0,69000.0,12.0
185,Female,45.0,94000.0,7.0
186,Female,27.633708980216863,87000.0,8.0
187,Female,40.0,57000.0,33.0
188,Female,66.0,34000.0,6.0
189,Female,52.0,63000.0,12.0
190,Male,57.0,89000.0,18.0
191,Female,68.0,69000.0,5.0
192,Female,21.0,52000.0,6.0
193,Female,61.0,44000.0,6.0
195,Male,58.0,54000.0,59.0
196,Male,67.0,54000.0,4.0
197,Female,24.0,61000.0,21.0
199,Female,26.0,35000.0,4.0
200,Male,71.0,105000.0,10.0
201,Male,69.0,64000.0,8.0
202,Female,21.96385069505004,93000.0,14.0
203,Female,62.0,73000.0,4.0
204,Female,38.0,74000.0,59.0
205,Female,61.0,82000.0,13.0
206,Male,52.0,92000.0,29.0
207,Female,50.0,70000.0,4.0
208,Female,54.0,118000.0,19.0
209,Male,75.0,109000.0,20.0
210,Female,25.605812900409497,73000.0,100.0
211,Female,64.0,38000.0,5.0
212,Male,54.0,99000.0,13.0
214,Female,21.45923121771305,72000.0,28.0
216,Female,26.663165545600677,45000.0,18.0
217,Male,34.0,67000.0,12.0
218,Female,44.0,53000.0,7.0
219,Male,22.62562968103856,106000.0,34.0
220,Male,58.0,95000.0,17.0
222,Male,47.0,74000.0,71.0
223,Male,60.0,59000.0,50.0
224,Female,22.01996000353895,54000.0,4.0
225,Male,74.0,103000.0,12.0
226,Female,28.07755166898135,101000.0,22.0
227,Female,68.0,62000.0,32.0
228,Male,63.0,110000.0,5.0
229,Male,40.0,51000.0,18.0
230,Male,22.00820837783709,99000.0,11.0
231,Female,71.0,30000.0,4.0
232,Male,76.0,114000.0,37.0
233,Female,23.054097827636458,96000.0,26.0
234,Female,63.0,36000.0,43.0
236,Female,41.0,83000.0,46.0
237,Male,71.0,56000.0,9.0
238,Female,44.0,36000.0,7.0
239,Female,25.0,73000.0,6.0
240,Female,27.0,70000.0,6.0
241,Female,67.0,106000.0,15.0
242,Male,77.0,80000.0,17.0
243,Male,68.0,66000.0,28.0
244,Female,37.0,64000.0,8.0
245,Female,55.0,60000.0,6.0
246,Female,30.0,54000.0,6.0
247,Female,51.0,54000.0,6.0
248,Male,47.0,92000.0,59.0
249,Female,49.0,48000.0,10.0
250,Female,32.0,38000.0,12.0
251,Female,30.0,69000.0,11.0
252,Female,47.0,86000.0,5.0
254,Female,34.0,34000.0,12.0
255,Male,29.309700852625117,101000.0,5.0
256,Male,28.755575501135688,71000.0,19.0
257,Male,75.0,69000.0,21.0
258,Male,76.0,71000.0,25.0
259,Male,27.549692914420305,59000.0,4.0
260,Female,58.0,70000.0,18.0
261,Female,23.0,49000.0,9.0
262,Female,58.0,53000.0,46.0
264,Male,64.0,95000.0,30.0
265,Female,72.0,39000.0,8.0
266,Male,66.0,72000.0,6.0
267,Male,49.0,68000.0,10.0
268,Female,43.0,71000.0,10.0
269,Female,58.0,39000.0,4.0
270,Female,43.0,76000.0,23.0
271,Male,56.0,87000.0,16.0
272,Male,69.0,118000.0,10.0
273,Female,60.0,94000.0,20.0
274,Female,28.878934531938643,70000.0,15.0
275,Female,42.0,91000.0,15.0
276,Female,75.0,71000.0,10.0
277,Female,62.0,73000.0,4.0
278,Male,55.0,54000.0,69.0
279,Female,65.0,39000.0,15.0
280,Female,52.0,46000.0,42.0
281,Male,30.0,40000.0,31.0
282,Male,74.0,75000.0,4.0
283,Male,25.86262506450269,63000.0,6.0
284,Male,26.0,40000.0,17.0
285,Male,56.0,53000.0,5.0
286,Female,50.0,90000.0,4.0
287,Female,73.0,95000.0,15.0
288,Male,49.0,74000.0,4.0
289,Female,37.0,50000.0,50.0
290,Female,65.0,57000.0,52.0
291,Male,64.0,81000.0,5.0
292,Male,48.0,53000.0,9.0
293,Female,20.0,32000.0,9.0
295,Female,46.0,40000.0,24.0
296,Female,24.0,69000.0,7.0
297,Female,71.0,95000.0,12.0
298,Male,50.0,78000.0,4.0
299,Female,37.0,92000.0,10.0
300,Male,57.0,81000.0,39.0
302,Female,52.0,85000.0,11.0
303,Female,41.0,41000.0,9.0
304,Male,66.0,74000.0,43.0
305,Male,66.0,87000.0,5.0
306,Male,68.0,120000.0,25.0
307,Female,20.0,70000.0,35.0
308,Female,43.0,42000.0,4.0
309,Female,73.0,38000.0,26.0
311,Male,42.0,56000.0,16.0
312,Female,25.605159954971462,110000.0,5.0
314,Male,70.0,92000.0,6.0
315,Male,42.0,71000.0,5.0
316,Female,48.0,62000.0,22.0
317,Male,53.0,93000.0,5.0
318,Female,64.0,67000.0,8.0
319,Female,23.434974707206663,90000.0,9.0
320,Female,51.0,55000.0,6.0
321,Male,45.0,88000.0,34.0
322,Male,48.0,105000.0,15.0
324,Male,54.0,119000.0,12.0
325,Female,52.0,48000.0,8.0
326,Female,28.0,68000.0,6.0
327,Female,69.0,47000.0,64.0
328,Female,73.0,92000.0,13.0
330,Male,67.0,71000.0,8.0
331,Male,76.0,34000.0,9.0
332,Male,55.0,53000.0,13.0
333,Male,28.4926572676286,83000.0,9.0
335,Female,57.0,41000.0,7.0
337,Male,54.0,70000.0,13.0
339,Female,58.0,73000.0,4.0
341,Female,49.0,39000.0,12.0
342,Male,73.0,79000.0,17.0
343,Male,58.0,76000.0,5.0
344,Female,51.0,70000.0,10.0
345,Female,74.0,78000.0,4.0
346,Female,53.0,95000.0,7.0
347,Female,61.0,32000.0,4.0
349,Female,41.0,55000.0,8.0
350,Male,64.0,95000.0,15.0
353,Female,42.0,75000.0,12.0
354,Female,50.0,57000.0,6.0
355,Female,60.0,56000.0,14.0
356,Male,57.0,83000.0,4.0
357,Male,39.0,54000.0,9.0
359,Male,57.0,67000.0,16.0
360,Female,57.0,71000.0,4.0
361,Female,68.0,51000.0,7.0
362,Male,21.44706431925712,114000.0,12.0
363,Male,35.0,72000.0,13.0
364,Male,28.68504093485385,72000.0,19.0
365,Female,56.0,72000.0,16.0
367,Female,29.454888707535527,81000.0,5.0
368,Female,62.0,39000.0,5.0
369,Female,63.0,58000.0,17.0
371,Female,67.0,56000.0,4.0
372,Male,68.0,50000.0,13.0
373,Female,55.0,73000.0,59.0
376,Male,24.0,59000.0,9.0
377,Female,40.0,39000.0,4.0
378,Female,21.99997310937043,61000.0,9.0
381,Male,63.0,41000.0,17.0
382,Male,59.0,59000.0,30.0
383,Female,49.0,42000.0,10.0
384,Male,61.0,99000.0,10.0
385,Female,42.0,57000.0,5.0
386,Female,58.0,36000.0,5.0
387,Male,48.0,44000.0,9.0
388,Female,35.0,64000.0,11.0
389,Female,36.0,31000.0,13.0
390,Male,41.0,100000.0,23.0
391,Male,23.80405547630702,73000.0,24.0
392,Female,53.0,87000.0,7.0
394,Male,53.0,97000.0,6.0
395,Male,20.17286489799173,48000.0,4.0
396,Female,25.0,66000.0,19.0
397,Female,63.0,119000.0,4.0
398,Male,63.0,66000.0,54.0
399,Male,56.0,109000.0,4.0
400,Female,43.0,59000.0,6.0
401,Male,58.0,58000.0,5.0
402,Female,59.0,59000.0,5.0
